market_year,state,issuer_id,median_age40_premium,mean_age40_premium,minimum_age40_premium,rated_plans,rating_areas
2015,NH,61163,201.395,221.17125,188.35,8,1
2015,NH,96751,257.29499999999996,266.01599999999996,165.0,10,1
2015,NJ,10191,328.45,389.1942857142857,274.66,21,1
2015,NJ,48834,414.255,414.72166666666664,333.79,6,1
2015,NJ,50221,357.23,348.226,229.4,5,1
2015,NJ,77606,383.935,383.935,356.55,2,1
2015,NJ,91661,356.92,360.94666666666666,229.4,9,1
2015,NJ,91762,381.315,405.4775,292.14,16,1
2015,NM,19722,219.84,226.51333333333332,157.55,3,5
2015,NM,57173,270.5,271.54676923076926,140.58,13,5
2015,NM,72034,261.125,257.5591176470588,159.67,11,5
2015,NM,75605,253.39,255.60546391752578,142.8,49,5
2015,NM,93091,227.17000000000002,229.06433333333334,130.67,12,5
2015,NV,16698,342.54499999999996,362.70958333333334,284.37,12,2
2015,NV,29211,345.4,360.1388888888889,271.47,12,3
2015,NV,34996,308.9532085,335.38392395600005,205.8356294,31,4
2015,NV,60156,309.63,318.4604166666667,176.34,12,4
2015,NV,95865,293.07500000000005,294.3073333333333,217.24,15,2
2015,OH,14650,449.17,469.1138235294118,319.6,36,17
2015,OH,16204,341.38,325.7706535947712,187.51,9,17
2015,OH,20126,296.895,293.43649999999997,216.68,10,4
2015,OH,26734,262.075,265.695,217.67,5,2
2015,OH,28162,310.97,315.16769230769233,169.34,52,2
2015,OH,29276,330.225,326.07016806722686,182.5,14,17
2015,OH,33931,359.685,360.57888888888886,274.49,10,9
2015,OH,41047,257.20000000000005,263.06576190476187,191.08,30,7
2015,OH,52664,330.43,315.4305714285714,188.71,10,5
2015,OH,64353,299.26,310.2365217391304,233.45,3,8
2015,OH,66083,263.255,258.7528571428571,168.76,14,2
2015,OH,67129,300.98,306.41929411764704,198.35,5,17
2015,OH,74313,288.855,280.77109375,156.91,8,8
2015,OH,77552,266.51,274.3375641025641,186.09,36,12
2015,OH,92036,277.6,275.94971428571426,200.88,10,7
2015,OH,99969,319.43,323.0449411764706,157.36,15,17
2015,OK,29176,360.96500000000003,379.15333333333336,285.31,12,2
2015,OK,85408,272.92499999999995,282.2064285714286,175.34,14,5
2015,OK,87571,253.63,254.860756302521,142.52,71,5
2015,OK,98905,310.43,308.51545454545453,148.21,11,3
2015,OR,10091,263.0,264.17610062893084,189.0,33,7
2015,OR,32536,239.37,241.33833333333334,191.96,6,3
2015,OR,39424,235.0,234.8,167.0,15,7
2015,OR,56707,238.0,241.95238095238096,189.0,6,7
2015,OR,63474,266.645,276.77958333333333,195.15,24,7
2015,OR,71287,245.5,240.7,165.0,10,5
2015,OR,85804,232.0,234.34920634920636,175.0,9,7
2015,OR,95417,264.87,263.675,189.02,4,1
2015,OR,96383,281.3,279.9691596638656,150.02,17,7
2015,OR,99389,292.0,285.2857142857143,179.0,16,7
2015,PA,16322,202.27,222.09205405405405,151.75,37,5
2015,PA,19068,349.55,361.11851851851856,244.94,42,9
2015,PA,22444,290.61,288.4733333333333,174.84,15,6
2015,PA,24872,206.57999999999998,211.22750000000002,163.94,5,4
2015,PA,31609,371.41406,380.450118,247.04,10,1
2015,PA,33709,220.45,214.9824,139.02,27,7
2015,PA,33871,345.72,356.075,273.88,6,1
2015,PA,33906,324.695,309.75,239.45,5,2
2015,PA,45127,383.68,392.6166666666667,286.33,11,3
2015,PA,53789,331.96500000000003,327.0295238095238,125.38,56,3
2015,PA,55957,264.29,278.7088235294118,138.94,17,1
2015,PA,64844,305.255,294.8085714285714,226.06,9,2
2015,PA,70194,295.13,306.681797752809,221.61,23,7
2015,PA,75729,302.125,298.45666666666665,244.81,2,6
2015,PA,91303,266.25,266.60425,185.39,5,8
2015,SC,26065,303.7,306.36891304347824,216.11,18,46
2015,SC,39996,497.37,512.4334782608695,345.61,36,46
2015,SC,41614,268.07,261.9394791666667,155.92,36,16
2015,SC,49532,297.77,301.52943289224953,213.6,23,46
2015,SC,65122,284.47,285.4080602006689,154.66,13,46
2015,SD,31195,284.27,279.8588888888889,205.02,9,4
2015,SD,60536,287.825,298.5798387096774,188.39,16,4
2015,SD,62210,286.14,307.266875,223.71,16,4
2015,TN,14002,283.455,296.65658333333334,145.56,84,8
2015,TN,60299,365.855,387.28812500000004,281.65,30,8
2015,TN,82120,247.34,268.07800000000003,157.71,15,3
2015,TN,99248,301.995,301.37111111111113,248.71,6,3
2015,TX,26539,232.04,255.23055555555553,195.56,6,9
2015,TX,27248,267.28,262.858,188.44,5,2
2015,TX,28020,396.61,414.0151333333333,257.98,60,25
2015,TX,32673,274.445,284.93094594594595,157.6,42,7
2015,TX,33602,300.045,308.3027136752137,156.19,168,26
2015,TX,40788,255.58,267.4257692307692,202.11,13,8
2015,TX,45786,312.485,306.35425,216.85,5,8
2015,TX,46224,257.46,251.9725,197.42,4,1
2015,TX,55409,381.14,378.80403508771934,283.83,16,6
2015,TX,63141,273.25,289.9459259259259,157.92,13,4
2015,TX,63509,264.12,261.4052941176471,183.15,7,5
2015,TX,71837,240.53,250.14333333333335,211.02,3,2
2015,TX,85947,260.745,263.46225,167.16,10,8
2015,TX,87226,250.965,253.0410606060606,169.17,33,8
2015,TX,91716,313.275,302.61185714285716,193.79,20,8
2015,UT,18167,225.96,222.03444444444443,179.75,3,3
2015,UT,27619,249.51,250.26409836065574,182.14,21,6
2015,UT,34541,240.265,248.84270833333335,175.7,8,6
2015,UT,38927,254.885,258.511,176.05,10,6
2015,UT,56764,192.89999999999998,201.34666666666666,147.78,6,1
2015,UT,68781,265.735,265.2189333333333,170.95,60,6
2015,VA,10207,328.8,312.19,178.38,11,1
2015,VA,12028,259.015,256.345,162.86,6,1
2015,VA,15668,259.54,299.6144444444444,224.8,9,5
2015,VA,20507,283.53,293.2371428571428,213.26,7,12
2015,VA,38234,292.25,280.8554761904762,170.22,12,6
2015,VA,40308,378.74,383.77750000000003,247.5,4,1
2015,VA,88380,279.56,275.1500606060606,163.67,19,12
2015,VA,95185,279.78999999999996,278.067,177.43,10,3
2015,VA,99663,243.365,248.0897222222222,139.12,18,4
2015,WI,32754,413.12,402.5130303030303,320.34,33,4
2015,WI,37833,331.45,344.00389021479714,162.43,101,5
2015,WI,38166,322.63,329.0845185185185,206.4,18,9
2015,WI,38345,265.65999999999997,278.78432692307695,172.38,24,7
2015,WI,39924,403.8,397.2473076923077,244.31,10,13
2015,WI,47342,372.6,366.6052307692308,246.11,26,5
2015,WI,52697,300.995,307.67375,239.49,3,8
2015,WI,57845,389.99,372.00875,209.09,8,2
2015,WI,58326,340.56,349.38222222222225,280.42,9,1
2015,WI,58564,380.24,351.206,223.77,5,1
2015,WI,79475,364.295,365.91749999999996,201.21,13,12
2015,WI,84670,367.875,389.33948648648646,211.2,111,10
2015,WI,87416,327.46000000000004,326.2440833333333,180.55,20,6
2015,WI,91058,384.735,396.339375,258.58,16,3
2015,WI,94529,345.51,338.6454545454545,191.92,22,5
2015,WV,31274,313.94,308.77375757575754,199.74,15,11
2015,WY,11269,446.9,449.81111111111113,302.8,30,3
2015,WY,53189,463.86,459.3564102564103,328.37,13,3
2016,AK,38344,846.0,823.5555555555555,649.0,6,3
2016,AK,73836,598.0,652.0909090909091,497.0,11,3
2016,AL,44580,288.19,283.37533333333334,165.44,10,3
2016,AL,46944,321.5,330.6089423076923,217.25,8,13
2016,AL,68259,300.82500000000005,297.4371794871795,193.67,6,13
2016,AR,37903,354.70500000000004,354.24285714285713,320.34,2,7
2016,AR,62141,297.33,300.13085714285717,237.76,5,7
2016,AR,65817,369.63,371.99075187969925,242.25,19,7
2016,AR,70525,289.79499999999996,283.1928571428572,158.61,6,7
2016,AR,75293,301.52,300.3753571428571,215.19,12,7
2016,AZ,23307,257.85,261.921,155.67,10,2
2016,AZ,53901,300.79499999999996,310.4659459459459,163.14,22,7
2016,AZ,65441,216.64999999999998,201.24444444444444,83.99,18,1
2016,AZ,70239,250.72,255.5725,122.33,32,4
2016,AZ,78611,277.0,271.71,195.0,7,1
2016,AZ,91450,263.8,263.8575,213.59,6,2
2016,AZ,97667,267.43,265.03000000000003,219.89,7,1
2016,AZ,98971,307.75,312.0053246753247,167.77,11,7
2016,DE,29497,351.40999999999997,361.025,291.14,4,1
2016,DE,67190,339.675,348.985,281.41,4,1
2016,DE,76168,422.85,394.44190476190477,259.09,21,1
2016,FL,16842,425.96,451.2699663299663,218.96,18,67
2016,FL,18628,255.01,277.088,219.47,5,2
2016,FL,21663,274.865,280.01381944444444,220.36,16,9
2016,FL,27357,335.63,348.5868571428571,252.76,70,4
2016,FL,30252,344.56,372.38045454545454,238.67,13,45
2016,FL,35783,310.39,322.4111688311688,180.98,35,13
2016,FL,54172,279.23,282.0422222222222,231.12,3,3
2016,FL,56503,360.75,362.85053030303027,213.11,66,4
2016,FL,57451,250.17,269.1991111111111,191.21,5,9
2016,FL,68398,347.59,341.55893390191903,195.12,7,67
2016,GA,43802,355.85,356.56312499999996,216.38,9,16
2016,GA,49046,329.065,339.10216346153845,172.2,13,16
2016,GA,50491,357.42999999999995,357.433,261.78,6,5
2016,GA,70893,260.03499999999997,263.49015625,202.82,16,4
2016,GA,82824,298.575,310.69244444444445,184.9,54,11
2016,GA,83761,398.545,405.72535714285715,271.8,8,7
2016,GA,89942,321.0,313.567,212.15,10,6
2016,GA,93332,313.785,322.96999999999997,190.06,22,13
2016,GA,95852,315.58,325.572,266.57,5,1
