puf_publication_year,claims_year,claims_year_verified,state,issuer_id,issuer_name,claims_received_total_reported,claims_denied_total_reported,internal_appeals_filed,internal_appeals_overturned,external_appeals_filed,external_appeals_overturned,claims_received_in_network,claims_received_out_of_network,claims_denied_in_network,claims_denied_out_of_network,claims_received_total,claims_denied_total,denial_rate_total,denial_rate_in_network,internal_appeal_rate,internal_reversal_rate,external_reversal_rate,claims_resubmitted_in_network,claims_resubmitted_out_of_network
2019,2017,True,WI,94529,Group Health Cooperative of South Central Wisconsin,113954,8564,,,15,,,,,,113954.0,8564.0,0.07515313196552995,,,,,,
2019,2017,True,WV,31274,Highmark Blue Cross Blue Shield West Virginia,808499,57535,63,23,,,,,,,808499.0,57535.0,0.07116273489515756,,0.0010949856609020596,0.36507936507936506,,,
2019,2017,True,WV,50328,CareSource West Virginia,57596,16259,504,106,,,,,,,57596.0,16259.0,0.2822939092992569,,0.030998216372470633,0.21031746031746032,,,
2019,2017,True,WY,11269,Blue Cross Blue Shield of Wyoming,932043,156104,1606,338,,,,,,,932043.0,156104.0,0.1674858348810087,,0.010288013119458822,0.21046077210460773,,,
2020,2018,True,AK,38344,Premera Blue Cross Blue Shield of Alaska,504380,70912,178,76,11,,,,,,504380.0,70912.0,0.14059241048415877,,0.002510153429602888,0.42696629213483145,,,
2020,2018,True,AK,77963,Moda Assurance Company,,,,,,,,,,,,,,,,,,,
2020,2018,True,AL,46944,Blue Cross and Blue Shield of Alabama,5816631,1204590,7009,1787,220,23,,,,,5816631.0,1204590.0,0.20709410653692834,,0.005818577275255481,0.2549579112569553,0.10454545454545454,,
2020,2018,True,AL,73301,"Bright Health Insurance Company of Alabama, Inc.",21635,3961,,,,,,,,,21635.0,3961.0,0.18308296741391264,,,,,,
2020,2018,True,AR,37903,"QualChoice Life & Health Insurance Company, Inc.",559994,92765,71,13,33,,,,,,559994.0,92765.0,0.1656535605738633,,0.0007653748719883577,0.18309859154929578,,,
2020,2018,True,AR,62141,Celtic Insurance Company,3048249,540482,825,235,24,16,,,,,3048249.0,540482.0,0.17730900592438478,,0.0015264153107781573,0.28484848484848485,0.6666666666666666,,
2020,2018,True,AR,70525,"QCA Health Plan, Inc.",571445,93792,106,43,45,13,,,,,571445.0,93792.0,0.16413128122566475,,0.001130160354827704,0.4056603773584906,0.28888888888888886,,
2020,2018,True,AR,75293,USAble Mutual Insurance Company,1987042,396900,6848,2959,20,,,,,,1987042.0,396900.0,0.1997441422979484,,0.017253716301335348,0.43209696261682246,,,
2020,2018,True,AZ,13877,"Oscar Health Plan, Inc.",,,,,,,,,,,,,,,,,,,
2020,2018,True,AZ,53901,"Blue Cross and Blue Shield of Arizona, Inc.",735948,74709,579,264,47,,,,,,735948.0,74709.0,0.10151396566061732,,0.007750070272657912,0.45595854922279794,,,
2020,2018,True,AZ,87247,Bright Health Company of Arizona,,,,,,,,,,,,,,,,,,,
2020,2018,True,AZ,91450,"Health Net of Arizona, Inc.",3606632,764177,4109,969,27,,,,,,3606632.0,764177.0,0.21188105689740455,,0.005377026526576958,0.23582380141153567,,,
2020,2018,True,AZ,97667,"Cigna HealthCare of Arizona, Inc",,,,,,,,,,,,,,,,,,,
2020,2018,True,DE,76168,Highmark BCBSD Inc.,534911,39301,56,29,,,,,,,534911.0,39301.0,0.07347203553488338,,0.0014249001297676903,0.5178571428571429,,,
2020,2018,True,FL,12379,Bright Health Insurance Company of Florida,,,,,,,,,,,,,,,,,,,
2020,2018,True,FL,16842,Blue Cross and Blue Shield of Florida,14666581,95386,2224,577,122,34,,,,,14666581.0,95386.0,0.006503628896196053,,0.023315790577233556,0.25944244604316546,0.2786885245901639,,
2020,2018,True,FL,21663,Celtic Insurance Company,10593502,2527263,2074,488,,,,,,,10593502.0,2527263.0,0.23856728398219965,,0.0008206506406337607,0.23529411764705882,,,
2020,2018,True,FL,30252,"Health Options, Inc.",19045851,92770,2249,818,90,17,,,,,19045851.0,92770.0,0.00487087712699212,,0.02424275088929611,0.3637172076478435,0.18888888888888888,,
2020,2018,True,FL,36194,"Health First Commercial Plans, Inc.",715287,115313,363,190,18,,,,,,715287.0,115313.0,0.1612122127202088,,0.0031479538300104933,0.5234159779614325,,,
2020,2018,True,FL,40572,Oscar Insurance Company of Florida,,,,,,,,,,,,,,,,,,,
2020,2018,True,FL,48121,Cigna Health and Life Insurance Company,5978,2011,11,,,,,,,,5978.0,2011.0,0.3364001338240214,,0.005469915464942815,,,,
2020,2018,True,FL,54172,"Molina Healthcare of Florida, Inc",1220152,418296,231,65,12,,,,,,1220152.0,418296.0,0.34282286141398777,,0.0005522405186757703,0.2813852813852814,,,
2020,2018,True,FL,56503,"Florida Health Care Plan, Inc.",460129,29092,170,29,,,,,,,460129.0,29092.0,0.06322574756209672,,0.005843530867592465,0.17058823529411765,,,
2020,2018,True,GA,49046,"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",2754610,141186,216,40,,,,,,,2754610.0,141186.0,0.05125444255266626,,0.001529896731970592,0.18518518518518517,,,
2020,2018,True,GA,58081,Oscar Health Plan of Georgia,,,,,,,,,,,,,,,,,,,
2020,2018,True,GA,60224,CareSource Georgia Co.,,,,,,,,,,,,,,,,,,,
2020,2018,True,GA,70893,Ambetter of Peach State Inc.,5204713,977496,1820,427,,,,,,,5204713.0,977496.0,0.1878097793288506,,0.001861900202149165,0.23461538461538461,,,
2020,2018,True,GA,83761,Alliant Health Plans,608701,38668,5676,2860,46,17,,,,,608701.0,38668.0,0.06352544188361774,,0.14678804179166235,0.5038759689922481,0.3695652173913043,,
2020,2018,True,GA,89942,Kaiser Foundation Health Plan of Georgia,197521,21642,328,143,12,,,,,,197521.0,21642.0,0.1095680965568218,,0.015155715737917012,0.43597560975609756,,,
2020,2018,True,HI,18350,Hawaii Medical Service Association,409325,93146,,,,,,,,,409325.0,93146.0,0.22756000732913945,,,,,,
2020,2018,True,HI,60612,"Kaiser Foundation Health Plan, Inc.",,,,,,,,,,,,,,,,,,,
2020,2018,True,IA,25896,"Wellmark Health Plan of Iowa, Inc.",,,,,,,,,,,,,,,,,,,
2020,2018,True,IA,74406,"Wellmark Value Health Plan, Inc.",,,,,,,,,,,,,,,,,,,
2020,2018,True,IA,93078,Medica Insurance Company,985619,127089,319,152,,,,,,,985619.0,127089.0,0.12894333408751252,,0.002510052010795584,0.47648902821316613,,,
2020,2018,True,IL,20129,"Health Alliance Medical Plans, Inc.",1450727,205736,384,210,24,,,,,,1450727.0,205736.0,0.14181579304721012,,0.0018664696504257885,0.546875,,,
2020,2018,True,IL,27833,Celtic Insurance Company,507107,127642,83,34,,,,,,,507107.0,127642.0,0.251706247399464,,0.0006502561852681719,0.40963855421686746,,,
2020,2018,True,IL,36096,Blue Cross Blue Shield of Illinois,7982772,1330008,326,68,16,,,,,,7982772.0,1330008.0,0.16660979419179203,,0.0002451113076011573,0.2085889570552147,,,
2020,2018,True,IL,53882,"Cigna HealthCare of Illinois, Inc.",342939,18284,457,88,,,,,,,342939.0,18284.0,0.05331560423282275,,0.024994530737256618,0.1925601750547046,,,
2020,2018,True,IL,85773,Quartz Health Benefit Plans Corporation,,,,,,,,,,,,,,,,,,,
2020,2018,True,IN,54192,"CareSource Indiana, Inc.",3322601,637709,5462,,,,,,,,3322601.0,637709.0,0.1919306591432435,,0.00856503514926087,,,,
2020,2018,True,IN,76179,Celtic Insurance Company,1478237,317224,959,,,,,,,,1478237.0,317224.0,0.21459617097934905,,0.0030231003959347337,,,,
2020,2018,True,KS,18558,"Blue Cross and Blue Shield of Kansas, Inc.",2446426,300502,254,,,,,,,,2446426.0,300502.0,0.12283306341577468,,0.0008452522778550559,,,,
2020,2018,True,KS,39520,Medica Insurance Company,336341,58835,148,,,,,,,,336341.0,58835.0,0.17492663695475721,,0.0025155094756522476,,,,
2020,2018,True,KS,43490,Oscar Insurance Company,,,,,,,,,,,,,,,,,,,
2020,2018,True,KS,76763,Cigna Health and Life Insurance Company,,,,,,,,,,,,,,,,,,,
2020,2018,True,KS,80065,"Sunflower State Health Plan, Inc",206095,36648,414,,,,,,,,206095.0,36648.0,0.17782090783376597,,0.011296660117878193,,,,
2020,2018,True,KY,36239,Anthem Health Plans of KY(Anthem BCBS),1590335,59062,108,,,,,,,,1590335.0,59062.0,0.03713808725834494,,0.0018285869086722428,,,,
2020,2018,True,KY,45636,CareSource Kentucky Co.,2375183,434113,2017,,,,,,,,2375183.0,434113.0,0.18277033811710508,,0.004646255698401108,,,,
2020,2018,True,LA,19636,"HMO Louisiana, Inc.",2667055,381864,1026,,,,,,,,2667055.0,381864.0,0.14317814968195255,,0.0026868204386902143,,,,
2020,2018,True,LA,67243,"Vantage Health Plan, Inc.",332606,49693,457,,,,,,,,332606.0,49693.0,0.14940500171373938,,0.009196466303101041,,,,
2020,2018,True,LA,97176,Louisiana Health Service & Indemnity Company,206160,25239,169,,,,,,,,206160.0,25239.0,0.12242433061699651,,0.006695986370299932,,,,
2020,2018,True,LA,98780,CHRISTUS Health Plan Louisiana,,,,,,,,,,,,,,,,,,,
2020,2018,True,ME,33653,Maine Community Health Options,1167484,73744,521,,,,,,,,1167484.0,73744.0,0.06316489133898195,,0.007064981557821653,,,,
2020,2018,True,ME,48396,Anthem Health Plans of ME(Anthem BCBS),37516,3290,11,,,,,,,,37516.0,3290.0,0.08769591640899883,,0.0033434650455927053,,,,
2020,2018,True,ME,96667,Harvard Pilgrim Health Care Inc.,1065105,278794,124,,,,,,,,1065105.0,278794.0,0.2617525971617822,,0.0004447728430310552,,,,
2020,2018,True,MI,15560,Blue Cross Blue Shield of Michigan Mutual Insurance Company,2040782,373469,435,,,,,,,,2040782.0,373469.0,0.18300288810857798,,0.0011647553076694452,,,,
2020,2018,True,MI,29698,Priority Health,951552,61208,462,,,,,,,,951552.0,61208.0,0.0643243879472693,,0.007548032936870997,,,,
2020,2018,True,MI,40047,"Molina Healthcare of Michigan, Inc.",394733,106686,172,,,,,,,,394733.0,106686.0,0.27027383066528515,,0.0016122077873385449,,,,
2020,2018,True,MI,58594,"Meridian Health Plan of Michigan, Inc.",117295,33292,60,,,,,,,,117295.0,33292.0,0.2838313653608423,,0.0018022347711161841,,,,
2020,2018,True,MI,60829,Physicians Health Plan,188443,20377,16,,,,,,,,188443.0,20377.0,0.10813349394777201,,0.0007851989988712765,,,,
2020,2018,True,MI,67183,"Total Health Care USA, Inc.",389289,31627,,,,,,,,,389289.0,31627.0,0.08124298400417171,,,,,,
2020,2018,True,MI,74917,McLaren Health Plan Community,261534,90244,75,37,,,,,,,261534.0,90244.0,0.3450564744928002,,0.0008310801826160188,0.49333333333333335,,,
2020,2018,True,MI,77739,Oscar Insurance Company,,,,,,,,,,,,,,,,,,,
2020,2018,True,MI,98185,Blue Care Network of Michigan,3946599,620084,394,,,,,,,,3946599.0,620084.0,0.15711857221876355,,0.0006353977848162507,,,,
2020,2018,True,MO,32753,Healthy Alliance Life Co(Anthem BCBS),1589808,57222,136,,,,,,,,1589808.0,57222.0,0.03599302557289937,,0.0023767082590612004,,,,
2020,2018,True,MO,47840,SSM Health Insurance Company,,,,,,,,,,,,,,,,,,,
2020,2018,True,MO,53461,Medica Insurance Company,,,,,,,,,,,,,,,,,,,
2020,2018,True,MO,69512,Oscar Insurance Company,,,,,,,,,,,,,,,,,,,
2020,2018,True,MO,74483,Cigna Health and Life Insurance Company,2264511,113991,1902,,,,,,,,2264511.0,113991.0,0.050338019996370074,,0.016685527804826697,,,,
2020,2018,True,MO,96384,Cox Health Systems Insurance Company,,,,,,,,,,,,,,,,,,,
2020,2018,True,MO,99723,Celtic Insurance Company,2047926,445424,455,,,,,,,,2047926.0,445424.0,0.2175000463883949,,0.0010214986170480262,,,,
2020,2018,True,MS,79975,"Molina Healthcare of Mississippi, Inc",,,,,,,,,,,,,,,,,,,
2020,2018,True,MS,90714,Ambetter of Magnolia Inc.,60429,11128,492,,,,,,,,60429.0,11128.0,0.1841499942080789,,0.04421279654924515,,,,
2020,2018,True,MT,23603,PacificSource Health Plans,225458,14412,215,,,,,,,,225458.0,14412.0,0.06392321407978425,,0.01491812378573411,,,,
2020,2018,True,MT,30751,Blue Cross and Blue Shield of Montana,530172,64786,22,,,,,,,,530172.0,64786.0,0.12219807911394792,,0.00033957953878924457,,,,
2020,2018,True,MT,32225,Montana Health Cooperative,552464,37760,442,,,,,,,,552464.0,37760.0,0.06834834486952997,,0.01170550847457627,,,,
2020,2018,True,NC,11512,Blue Cross and Blue Shield of NC,27232607,3950642,1426,,,,,,,,27232607.0,3950642.0,0.14507028284144813,,0.00036095399178158894,,,,
2020,2018,True,NC,37900,Bright Health Company of North Carolina,,,,,,,,,,,,,,,,,,,
2020,2018,True,NC,73943,"Cigna HealthCare of North Carolina, Inc.",328760,13948,148,,,,,,,,328760.0,13948.0,0.0424260858985278,,0.01061084026383711,,,,
2020,2018,True,NC,77264,Ambetter of North Carolina Inc.,,,,,,,,,,,,,,,,,,,
2020,2018,True,ND,37160,Blue Cross Blue Shield of North Dakota,625860,62415,113,,,,,,,,625860.0,62415.0,0.09972677595628415,,0.001810462228630938,,,,
2020,2018,True,ND,73751,Medica Health Plans,,,,,,,,,,,,,,,,,,,
2020,2018,True,ND,89364,Sanford Health Plan,113101,7475,622,,,,,,,,113101.0,7475.0,0.0660913696607457,,0.08321070234113713,,,,
2020,2018,True,NE,20305,Medica Insurance Company,1842141,186695,492,,,,,,,,1842141.0,186695.0,0.1013467481588,,0.0026353142826535257,,,,
2020,2018,True,NE,83653,Bright Health Insurance Company,,,,,,,,,,,,,,,,,,,
2020,2018,True,NH,59025,Harvard Pilgrim Health Care of NE,175731,48053,37,,,,,,,,175731.0,48053.0,0.2734463469734993,,0.0007699831436122614,,,,
2020,2018,True,NH,75841,Celtic Insurance Company,28079,6429,236,,,,,,,,28079.0,6429.0,0.22896114533993375,,0.03670866386685332,,,,
2020,2018,True,NH,96751,Matthew Thornton Hlth Plan(Anthem BCBS),1360893,174394,167,,,,,,,,1360893.0,174394.0,0.12814673894273834,,0.0009576017523538654,,,,
2020,2018,True,NJ,23818,Oscar Garden State Insurance Corporation,101645,16699,38,,,,,,,,101645.0,16699.0,0.16428747110039846,,0.0022755853643930775,,,,
2020,2018,True,NJ,77606,"AmeriHealth HMO, Inc.",396776,95226,75,,,,,,,,396776.0,95226.0,0.2399993951247051,,0.0007876000252032008,,,,
2020,2018,True,NJ,91661,"Horizon Healthcare Services, Inc.",5598686,1162898,12703,,,,,,,,5598686.0,1162898.0,0.20770909459826822,,0.010923571972778353,,,,
2020,2018,True,NJ,91762,AmeriHealth Ins Company of New Jersey,3020127,615028,658,,,,,,,,3020127.0,615028.0,0.20364309183024423,,0.0010698699896590073,,,,
2020,2018,True,NM,19722,"Molina Healthcare of New Mexico, Inc.",689861,151197,69,,,,,,,,689861.0,151197.0,0.21917023864227722,,0.00045635826107660865,,,,
2020,2018,True,NM,42776,"True Health New Mexico, Inc.",,,,,,,,,,,,,,,,,,,
2020,2018,True,NM,75605,Blue Cross Blue Shield of New Mexico,145699,28550,24,,,,,,,,145699.0,28550.0,0.19595192829051675,,0.000840630472854641,,,,
2020,2018,True,NM,93091,New Mexico Health Connections,439200,72546,371,,,,,,,,439200.0,72546.0,0.1651775956284153,,0.005113996636616767,,,,
2020,2018,True,OH,28162,AultCare Insurance Company,199095,8617,16,,,,,,,,199095.0,8617.0,0.043280845827368845,,0.0018567947081350818,,,,
2020,2018,True,OH,29276,Community Insurance Company(Anthem BCBS),11442,3417,25,,,,,,,,11442.0,3417.0,0.2986366019926586,,0.0073163593795727245,,,,
2020,2018,True,OH,29341,Oscar Buckeye State Insurance Corp.,,,,,,,,,,,,,,,,,,,
2020,2018,True,OH,41047,Buckeye Community Health Plan,519747,116979,685,,,,,,,,519747.0,116979.0,0.22506912016808178,,0.005855751887090845,,,,
2020,2018,True,OH,45845,Oscar Insurance Corporation of Ohio,8665,55,82,,,,,,,,8665.0,55.0,0.006347374495095211,,1.490909090909091,,,,
2020,2018,True,OH,52664,"Summa Insurance Company, Inc.",70493,9648,115,,,,,,,,70493.0,9648.0,0.13686465322798008,,0.011919568822553897,,,,
2020,2018,True,OH,64353,"Molina Healthcare of Ohio, Inc.",632864,150361,318,,,,,,,,632864.0,150361.0,0.23758817060221468,,0.0021149101163200562,,,,
2020,2018,True,OH,74313,Paramount Insurance Company,270262,44046,56,,,,,,,,270262.0,44046.0,0.16297518704072345,,0.0012713980838214593,,,,
2020,2018,True,OH,77552,CareSource,3508607,652564,3164,,,,,,,,3508607.0,652564.0,0.18598948243562188,,0.004848566577377851,,,,
2020,2018,True,OH,99969,Medical Health Insuring Corp. of Ohio,2058140,239390,1203,,,,,,,,2058140.0,239390.0,0.1163137590251392,,0.005025272567776432,,,,
2020,2018,True,OK,21333,Medica Insurance Company,,,,,,,,,,,,,,,,,,,
2020,2018,True,OK,40463,Bright Health Insurance Company,,,,,,,,,,,,,,,,,,,
2020,2018,True,OK,87571,Blue Cross Blue Shield of Oklahoma,6995708,1075645,240,,,,,,,,6995708.0,1075645.0,0.15375784695416103,,0.00022312194078901495,,,,
2020,2018,True,OR,10091,PacificSource Health Plans,206797,19070,197,,,,,,,,206797.0,19070.0,0.0922160379502604,,0.010330361824855794,,,,
2020,2018,True,OR,39424,"Moda Health Plan, Inc.",661162,54600,72,,,,,,,,661162.0,54600.0,0.08258187857136375,,0.0013186813186813187,,,,
2020,2018,True,OR,56707,Providence Health Plan,530180,44866,561,,,,,,,,530180.0,44866.0,0.0846240899317213,,0.012503900503722194,,,,
2020,2018,True,OR,63474,BridgeSpan Health Company,34009,2408,54,,,,,,,,34009.0,2408.0,0.0708047869681555,,0.022425249169435217,,,,
2020,2018,True,OR,71287,Kaiser Foundation Healthplan of the NW,,,334,,,,,,,,,,,,,,,,
2020,2018,True,PA,16322,"UPMC Health Options, Inc.",3836202,146905,95,,,,,,,,3836202.0,146905.0,0.03829438595777803,,0.0006466764235390218,,,,
2020,2018,True,PA,22444,Geisinger Health Plan,1353167,201575,166,,,,,,,,1353167.0,201575.0,0.14896535313084047,,0.0008235148207863079,,,,
2020,2018,True,PA,31609,Independence Blue Cross (QCC Ins. Co.),1165326,160079,87,,,,,,,,1165326.0,160079.0,0.13736842737568714,,0.0005434816559323833,,,,
2020,2018,True,PA,33709,Highmark Inc.,21172,1581,19,,,,,,,,21172.0,1581.0,0.07467409786510486,,0.012017710309930424,,,,
2020,2018,True,PA,33871,"Keystone Health Plan East, Inc",4478410,744583,329,,,,,,,,4478410.0,744583.0,0.16626057015771223,,0.0004418580601491036,,,,
2020,2018,True,PA,38949,Highmark Choice Company,92376,5735,23,,,,,,,,92376.0,5735.0,0.062083225080107385,,0.004010462074978204,,,,
2020,2018,True,PA,45127,Capital Advantage Assurance Company,1566002,205517,325,,,,,,,,1566002.0,205517.0,0.13123674171552782,,0.001581377696248972,,,,
2020,2018,True,PA,75729,Geisinger Quality Options,,,,,,,,,,,,,,,,,,,
2020,2018,True,PA,79279,Highmark Coverage Advantage Inc.,,,,,,,,,,,,,,,,,,,
2020,2018,True,PA,79962,Highmark Benefits Group Inc.,,,,,,,,,,,,,,,,,,,
2020,2018,True,PA,86199,"Pennsylvania Health & Wellness, Inc.",,,,,,,,,,,,,,,,,,,
2020,2018,True,PA,98517,"Oscar Health Plan of Pennsylvania, Inc.",,,,,,,,,,,,,,,,,,,
2020,2018,True,SC,16985,Bright Health Company of South Carolina,,,,,,,,,,,,,,,,,,,
2020,2018,True,SC,26065,Blue Cross and Blue Shield of South Carolina,9849995,1605683,2013,,,,,,,,9849995.0,1605683.0,0.1630135852860839,,0.0012536721133623511,,,,
2020,2018,True,SC,42326,"MOLINA HEALTHCARE OF SOUTH CAROLINA, INC",,,,,,,,,,,,,,,,,,,
2020,2018,True,SC,79222,"Absolute Total Care, Inc",,,,,,,,,,,,,,,,,,,
2020,2018,True,SD,31195,Sanford Health Plan,453255,22448,280,,,,,,,,453255.0,22448.0,0.04952620489569889,,0.012473271560940842,,,,
2020,2018,True,SD,60536,"Avera Health Plans, Inc.",372944,58063,94,,,,,,,,372944.0,58063.0,0.15568825346432708,,0.0016189311609803145,,,,
2020,2018,True,TN,14002,BlueCross BlueShield of Tennessee,7317202,1207868,981,,,,,,,,7317202.0,1207868.0,0.16507238695884027,,0.0008121748402971186,,,,
2020,2018,True,TN,23552,Oscar Insurance Company,336971,73674,148,,,,,,,,336971.0,73674.0,0.2186360250585362,,0.0020088497977576894,,,,
2020,2018,True,TN,70111,Celtic Insurance Company,,,,,,,,,,,,,,,,,,,
2020,2018,True,TN,97906,Bright Health Insurance Company of Tennessee,,,,,,,,,,,,,,,,,,,
2020,2018,True,TN,99248,Cigna Health and Life Insurance Company,1952184,98068,3099,,,,,,,,1952184.0,98068.0,0.050235018830192234,,0.03160052208671534,,,,
2020,2018,True,TX,20069,Oscar Insurance Company,1234053,262171,677,,,,,,,,1234053.0,262171.0,0.21244711531838584,,0.002582284081763429,,,,
2020,2018,True,TX,26539,"SHA, LLC DBA FirstCare Health Plans",689194,129149,191,,,,,,,,689194.0,129149.0,0.18739135860149683,,0.0014789119544092483,,,,
2020,2018,True,TX,27248,"Community Health Choice, Inc.",2259355,385861,138,,,,,,,,2259355.0,385861.0,0.17078369711709757,,0.0003576417414561202,,,,
2020,2018,True,TX,29418,Celtic Insurance Company,4835793,1199078,1127,,,,,,,,4835793.0,1199078.0,0.24795891800993136,,0.0009398888145725299,,,,
2020,2018,True,TX,33602,Blue Cross Blue Shield of Texas,14065915,2535879,1102,,,,,,,,14065915.0,2535879.0,0.18028539202746496,,0.0004345633210417374,,,,
2020,2018,True,TX,45786,"Molina Healthcare of Texas, Inc.",5814783,1538371,2161,,,,,,,,5814783.0,1538371.0,0.26456206534276516,,0.0014047326685175422,,,,
2020,2018,True,TX,66252,CHRISTUS Health Plan,650838,135197,262,,,,,,,,650838.0,135197.0,0.207727575833003,,0.0019379128235093974,,,,
2020,2018,True,TX,71837,"Sendero Health Plans, inc.",446191,65619,26,,,,,,,,446191.0,65619.0,0.14706482201568385,,0.00039622670263185966,,,,
2020,2018,True,UT,18167,Molina Healthcare of Utah,,,,,,,,,,,,,,,,,,,
2020,2018,True,UT,34541,BridgeSpan Health Company,,,,,,,,,,,,,,,,,,,
2020,2018,True,UT,42261,University of Utah Health Insurance Plans,633043,215466,737,,,,,,,,633043.0,215466.0,0.3403655043970157,,0.00342049325647666,,,,
2020,2018,True,UT,68781,SelectHealth,6303368,669556,3060,,,,,,,,6303368.0,669556.0,0.10622194357048485,,0.004570192784472098,,,,
2020,2018,True,UT,81808,Cigna Health and Life Insurance Company,,,,,,,,,,,,,,,,,,,
2020,2018,True,VA,10207,"CareFirst BlueChoice, Inc.",107299,15996,49,,,,,,,,107299.0,15996.0,0.149078742579148,,0.0030632658164541134,,,,
2020,2018,True,VA,20507,Optima Health Plan,214900,99764,117,,,,,,,,214900.0,99764.0,0.4642345276872964,,0.0011727677318471594,,,,
2020,2018,True,VA,25922,Oscar Insurance Company,,,,,,,,,,,,,,,,,,,
2020,2018,True,VA,37204,"Piedmont Community HealthCare HMO, Inc.",,,,,,,,,,,,,,,,,,,
2020,2018,True,VA,40308,Group Hospitalization and Medical Services Inc.,76859,10927,23,,,,,,,,76859.0,10927.0,0.14216942713280162,,0.0021048778255696897,,,,
2020,2018,True,VA,41921,Cigna Health and Life Insurance Company,1930580,101737,3344,,,,,,,,1930580.0,101737.0,0.052697634907644335,,0.03286906435220225,,,,
2020,2018,True,VA,80352,"Virginia Premier Health Plan, Inc.",,,,,,,,,,,,,,,,,,,
2020,2018,True,VA,88380,"HealthKeepers, Inc.",2538860,150723,105,31,,,,,,,2538860.0,150723.0,0.0593664085455677,,0.0006966421846698912,0.29523809523809524,,,
2020,2018,True,VA,95185,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",61424,8623,148,,,,,,,,61424.0,8623.0,0.1403848658504819,,0.017163400208744056,,,,
2020,2018,True,WI,14630,Children's Community Health Plan,616715,37326,491,171,14,,,,,,616715.0,37326.0,0.06052390488313078,,0.01315436960831592,0.34826883910386963,,,
2020,2018,True,WI,20173,HealthPartners Insurance Company,79939,4939,,,,,,,,,79939.0,4939.0,0.061784610765708854,,,,,,
2020,2018,True,WI,37833,Quartz Health Benefit Plans Corporation,538480,45592,165,51,,,,,,,538480.0,45592.0,0.08466795424156887,,0.0036190559747324093,0.3090909090909091,,,
2020,2018,True,WI,38166,"Security Health Plan of Wisconsin, Inc.",446488,21460,177,101,,,,,,,446488.0,21460.0,0.048064001720091024,,0.008247903075489282,0.5706214689265536,,,
2020,2018,True,WI,38345,Dean Health Plan,839270,64321,68,31,,,,,,,839270.0,64321.0,0.07663922218118127,,0.0010571974938200588,0.45588235294117646,,,
2020,2018,True,WI,52697,"Molina Healthcare of Wisconsin, Inc.",,,,,,,,,,,,,,,,,,,
2020,2018,True,WI,57845,Medica Community Health Plan,159539,13318,52,29,,,,,,,159539.0,13318.0,0.08347802104814497,,0.0039044901636882414,0.5576923076923077,,,
2020,2018,True,WI,58326,"MercyCare HMO, Inc.",249078,7329,,,,,,,,,249078.0,7329.0,0.029424517620986197,,,,,,
2020,2018,True,WI,81413,Network Health Plan,299081,73600,34,24,,,,,,,299081.0,73600.0,0.24608718039594624,,0.00046195652173913043,0.7058823529411765,,,
2020,2018,True,WI,84670,"WPS Health Plan, Inc.",,,,,,,,,,,,,,,,,,,
2020,2018,True,WI,86584,"Aspirus Arise Health Plan of Wisconsin, Inc.",82993,9764,198,75,,,,,,,82993.0,9764.0,0.11764847637752582,,0.020278574354772635,0.3787878787878788,,,
2020,2018,True,WI,87416,Common Ground Healthcare Cooperative,2430068,327062,53,17,15,,,,,,2430068.0,327062.0,0.13458964934314596,,0.00016204878585711577,0.32075471698113206,,,
2020,2018,True,WI,94529,Group Health Cooperative of South Central Wisconsin,100069,7220,19,,,,,,,,100069.0,7220.0,0.072150216350718,,0.002631578947368421,,,,
2020,2018,True,WV,31274,Highmark Blue Cross Blue Shield West Virginia,608399,35812,42,18,,,,,,,608399.0,35812.0,0.058862687151030824,,0.0011727912431587178,0.42857142857142855,,,
2020,2018,True,WV,50328,CareSource West Virginia Co.,352387,67650,364,230,,,,,,,352387.0,67650.0,0.19197643499902095,,0.0053806356245380636,0.6318681318681318,,,
2020,2018,True,WY,11269,Blue Cross Blue Shield of Wyoming,890759,128838,422,275,,,,,,,890759.0,128838.0,0.14463844878356547,,0.0032754311616138097,0.6516587677725119,,,
2021,2019,True,AK,38344,Premera Blue Cross Blue Shield of Alaska,440412,64537,180,63,,,,,,,440412.0,64537.0,0.14653778734457734,,0.0027890977268853526,0.35,,,
2021,2019,True,AK,77963,Moda Assurance Company,,,,,,,,,,,,,,,,,,,
2021,2019,True,AL,46944,Blue Cross and Blue Shield of Alabama,5726497,1258985,4392,1782,52,,,,,,5726497.0,1258985.0,0.21985255558502867,,0.0034885244859946705,0.4057377049180328,,,
2021,2019,True,AL,73301,"Bright Health Insurance Company of Alabama, Inc.",81484,23912,42,18,,,,,,,81484.0,23912.0,0.2934563840754013,,0.001756440281030445,0.42857142857142855,,,
2021,2019,True,AR,13262,"HMO Partners, Inc.",,,,,,,,,,,,,,,,,,,
2021,2019,True,AR,37903,"QualChoice Life & Health Insurance Company, Inc.",660234,122371,107,75,20,,,,,,660234.0,122371.0,0.1853448928713153,,0.0008743901741425664,0.7009345794392523,,,
2021,2019,True,AR,62141,Celtic Insurance Company,2556008,485794,436,194,,,,,,,2556008.0,485794.0,0.19005965552533483,,0.000897499763274145,0.44495412844036697,,,
