puf_publication_year,claims_year,claims_year_verified,state,issuer_id,issuer_name,claims_received_total_reported,claims_denied_total_reported,internal_appeals_filed,internal_appeals_overturned,external_appeals_filed,external_appeals_overturned,claims_received_in_network,claims_received_out_of_network,claims_denied_in_network,claims_denied_out_of_network,claims_received_total,claims_denied_total,denial_rate_total,denial_rate_in_network,internal_appeal_rate,internal_reversal_rate,external_reversal_rate,claims_resubmitted_in_network,claims_resubmitted_out_of_network
2019,2017,True,AZ,53901,"Blue Cross and Blue Shield of Arizona, Inc.",123454,22937,2131,925,58,,,,,,123454.0,22937.0,0.1857938989421161,,0.09290665736582814,0.4340685124354763,,,
2019,2017,True,AZ,91450,Ambetter from Arizona Complete Health,1062617,160526,1120,502,17,,,,,,1062617.0,160526.0,0.15106665901260755,,0.00697706290569752,0.44821428571428573,,,
2019,2017,True,DE,76168,Highmark BCBSD Inc.,335263,27922,45,17,,,,,,,335263.0,27922.0,0.08328386967843156,,0.0016116324045555477,0.37777777777777777,,,
2019,2017,True,FL,16842,Blue Cross and Blue Shield of Florida,16136090,636516,3427,1187,204,55,,,,,16136090.0,636516.0,0.039446730899493,,0.005383996631663619,0.3463670849139189,0.2696078431372549,,
2019,2017,True,FL,21663,Celtic Insurance Company,4024974,834501,979,462,26,10,,,,,4024974.0,834501.0,0.20733078027336327,,0.0011731561735695943,0.47191011235955055,0.38461538461538464,,
2019,2017,True,FL,30252,"Health Options, Inc.",11419533,348938,2581,1219,111,23,,,,,11419533.0,348938.0,0.03055624078497781,,0.007396729504955035,0.4722975590856257,0.2072072072072072,,
2019,2017,True,FL,36194,"Health First Commercial Plans, Inc.",458994,59486,263,141,12,,,,,,458994.0,59486.0,0.1296008226687059,,0.004421208351544901,0.5361216730038023,,,
2019,2017,True,FL,54172,"Molina Healthcare of Florida, Inc.",7807828,1910798,1033,367,28,11,,,,,7807828.0,1910798.0,0.2447284955559984,,0.0005406118281471929,0.3552758954501452,0.39285714285714285,,
2019,2017,True,FL,56503,"Florida Health Care Plan, Inc.",371954,8837,104,24,,,,,,,371954.0,8837.0,0.02375831420014303,,0.011768699784994908,0.23076923076923078,,,
2019,2017,True,GA,49046,"BCBS Healthcare Plan of Georgia, Inc.",9342627,2439462,878,130,12,,,,,,9342627.0,2439462.0,0.2611109273655044,,0.00035991542397463045,0.1480637813211845,,,
2019,2017,True,GA,70893,"Ambetter from Peach State Health Plan, Inc. ",2908913,,1815,458,,,,,,,2908913.0,,,,,0.25234159779614324,,,
2019,2017,True,GA,83761,Alliant Health Plans,319806,33770,1262,564,39,,,,,,319806.0,33770.0,0.10559526713069799,,0.037370447142434114,0.4469096671949287,,,
2019,2017,True,GA,89942,"Kaiser Foundation Health Plan of Georgia, Inc.",21064,4455,194,63,14,,,,,,21064.0,4455.0,0.21149829092290162,,0.04354657687991021,0.3247422680412371,,,
2019,2017,True,HI,18350,Hawaii Medical Service Association,483584,161163,33,21,,,,,,,483584.0,161163.0,0.3332678500529381,,0.00020476163883769848,0.6363636363636364,,,
2019,2017,True,HI,60612,"Kaiser Foundation Health Plan, Inc.",,,14,,,,,,,,,,,,,,,,
2019,2017,True,IA,93078,Medica Insurance Company,344412,18416,116,56,,,,,,,344412.0,18416.0,0.05347084306005598,,0.00629887054735013,0.4827586206896552,,,
2019,2017,True,IL,20129,"Health Alliance Medical Plans, Inc.",2707436,330223,383,207,30,,,,,,2707436.0,330223.0,0.12196890342006238,,0.0011598223018990197,0.5404699738903395,,,
2019,2017,True,IL,27833,Celtic Insurance Company,876420,181589,54,33,,,,,,,876420.0,181589.0,0.20719403938750827,,0.0002973748409870642,0.6111111111111112,,,
