market_year,state,issuer_id,issuer_name,plan_count,product_count,network_count,service_area_count,new_plan_count
2022,IL,65280,WellFirst Health,10,1,1,1,10
2022,IL,85773,Quartz,13,1,1,1,8
2022,IN,17575,Anthem Blue Cross and Blue Shield,10,2,1,2,6
2022,IN,35755,US Health and Life,8,1,1,1,8
2022,IN,54192,CareSource,13,2,1,1,2
2022,IN,76179,Ambetter from MHS,25,2,1,1,11
2022,KS,18558,"Blue Cross and Blue Shield of Kansas, Inc.",6,1,1,1,0
2022,KS,32542,US Health and Life,8,1,1,1,8
2022,KS,34368,Ambetter from Sunflower Health Plan,25,2,1,1,25
2022,KS,39520,Medica,26,3,4,3,3
2022,KS,43490,Oscar Insurance Company,29,1,1,1,20
2022,KS,76763,Cigna Healthcare,20,1,2,2,6
2022,KS,94248,Blue Cross and Blue Shield of Kansas City,9,1,4,1,5
2022,LA,19636,HMO Louisiana,31,5,5,8,4
2022,LA,61604,Ambetter from Louisiana Healthcare Connections,19,2,1,1,19
2022,LA,67243,Vantage Health Plan,5,1,1,1,0
2022,LA,69842,UnitedHealthcare,9,1,1,1,9
2022,LA,97176,Blue Cross and Blue Shield of Louisiana,5,2,1,1,0
2022,LA,98780,CHRISTUS Health Plan,30,10,1,3,8
2022,MI,15560,Blue Cross Blue Shield of Michigan Mutual Insurance Company ,8,3,1,2,0
2022,MI,29698,Priority Health,40,1,7,6,39
2022,MI,40047,Molina Healthcare,7,3,1,1,1
2022,MI,58594,Ambetter from Meridian,26,3,2,1,17
2022,MI,58996,US Health and Life,8,1,1,1,8
2022,MI,60829,Physicians Health Plan,17,4,2,2,3
2022,MI,71667,UnitedHealthcare,14,1,1,1,14
2022,MI,74917,McLaren Health Plan Community,7,1,1,2,2
2022,MI,77739,Oscar Insurance Company,28,1,1,1,18
2022,MI,98185,Blue Care Network of Michigan,18,3,3,5,1
2022,MO,32753,Anthem Blue Cross and Blue Shield,13,1,1,1,0
2022,MO,34762,Blue Cross and Blue Shield of Kansas City,11,1,3,2,4
2022,MO,47840,WellFirst Health,10,1,1,1,0
2022,MO,48161,Aetna CVS Health,15,1,3,3,15
2022,MO,53461,Medica,29,3,4,4,5
2022,MO,69512,Oscar Insurance Company,29,1,1,1,20
2022,MO,74483,Cigna Healthcare,33,1,2,3,10
2022,MO,96384,Cox HealthPlans,7,1,1,1,0
2022,MO,99723,Ambetter from Home State Health,46,2,1,2,18
2022,MS,14624,Vantage Health Plan of Mississippi,5,1,1,1,5
2022,MS,56766,Cigna Healthcare,10,1,1,1,10
2022,MS,79975,Molina Healthcare,9,3,1,1,1
2022,MS,90714,Ambetter from Magnolia Health,27,3,2,1,16
2022,MT,23603,PacificSource Health Plans,6,1,1,1,1
2022,MT,30751,Blue Cross and Blue Shield of Montana,37,2,2,7,3
2022,MT,32225,Mountain Health CO-OP,13,2,1,1,3
2022,NC,11512,Blue Cross and Blue Shield of NC,143,6,6,13,81
2022,NC,17414,AmeriHealth Caritas Next,6,1,1,1,6
2022,NC,37900,Bright HealthCare,90,1,1,6,30
2022,NC,44007,WellCare of North Carolina,3,1,1,1,3
2022,NC,54332,UnitedHealthcare,11,1,1,1,11
2022,NC,61671,Aetna CVS Health,5,1,1,1,5
2022,NC,69803,"Oscar Health Plan of North Carolina, Inc",34,1,1,1,25
2022,NC,73943,Cigna Healthcare,19,1,2,2,3
2022,NC,77264,Ambetter of North Carolina,25,2,1,1,13
2022,NC,77320,Friday Health Plans,9,1,1,1,9
2022,ND,37160,Blue Cross Blue Shield of North Dakota,8,2,2,1,0
2022,ND,73751,Medica,14,2,2,3,0
2022,ND,89364,Sanford Health Plan,16,2,2,2,0
2022,NE,20305,Medica,30,3,3,5,9
2022,NE,26289,Ambetter from Nebraska Total Care,22,2,1,2,22
2022,NE,57424,Oscar Insurance Company,28,1,1,1,28
2022,NE,83653,Bright HealthCare,30,1,1,2,16
2022,NH,59025,Harvard Pilgrim Health Care,11,1,1,1,11
2022,NH,75841,Ambetter from NH Healthy Families,19,2,1,1,7
2022,NH,96751,Anthem Blue Cross and Blue Shield,14,1,1,1,4
2022,OH,28162,AultCare Insurance Company,39,1,3,3,6
2022,OH,29276,Anthem Blue Cross and Blue Shield,17,1,1,1,0
2022,OH,29341,Oscar Health Insurance,51,2,2,1,37
2022,OH,41047,Ambetter from Buckeye Health Plan,27,2,1,1,13
2022,OH,45845,Oscar Insurance Corporation of Ohio,31,1,1,1,19
2022,OH,52664,SummaCare,17,1,1,1,9
2022,OH,64353,Molina Healthcare,7,3,1,1,1
2022,OH,74313,Paramount,11,1,1,2,2
2022,OH,77552,CareSource,13,2,1,2,2
2022,OH,99969,MedMutual,100,1,5,10,60
2022,OK,21333,Medica,27,3,4,6,4
2022,OK,40463,Bright HealthCare,15,1,1,1,5
2022,OK,45480,UnitedHealthcare,10,1,1,1,10
2022,OK,62505,Ambetter of Oklahoma,21,2,1,1,21
2022,OK,87571,Blue Cross and Blue Shield of Oklahoma,56,2,2,10,15
2022,OK,91538,Friday Health Plans,9,1,1,1,9
2022,OK,91908,Oscar Insurance Company,27,1,1,1,18
2022,OK,98905,CommunityCare,7,1,1,1,4
2022,OR,10091,PacificSource Health Plans,9,2,1,1,0
2022,OR,39424,"Moda Health Plan, Inc.",22,3,2,2,5
2022,OR,56707,Providence Health Plan,11,9,3,3,0
2022,OR,63474,BridgeSpan Health Company,3,1,1,1,0
2022,OR,71287,Kaiser Permanente,10,1,1,1,0
2022,OR,77969,Regence BlueCross BlueShield of Oregon,27,4,3,3,7
2022,SC,16985,Bright HealthCare,45,1,1,3,35
2022,SC,26065,BlueCross BlueShield of South Carolina,25,4,3,3,4
2022,SC,42326,Molina Healthcare,7,3,1,1,1
2022,SC,79222,Ambetter from Absolute Total Care,28,3,1,1,15
2022,SD,31195,Sanford Health Plan,16,2,2,2,0
2022,SD,60536,Avera Health Plans,17,2,1,2,6
2022,TN,14002,BlueCross BlueShield of Tennessee,83,1,2,8,29
2022,TN,23552,Oscar Insurance Company,16,1,1,1,4
2022,TN,69443,UnitedHealthcare,10,1,1,1,3
2022,TN,70111,Ambetter of Tennessee,25,2,1,1,14
2022,TN,97906,Bright HealthCare,93,1,1,6,64
2022,TN,99248,Cigna Healthcare,12,1,1,1,4
2022,TX,17933,"Moda Health, Inc.",7,1,1,1,7
2022,TX,20069,Oscar Insurance Company,68,2,2,2,55
2022,TX,26539,FirstCare Health Plans,10,1,1,1,1
2022,TX,27248,Community Health Choice,9,1,4,2,3
2022,TX,29418,Ambetter from Superior HealthPlan,86,3,1,2,42
2022,TX,33602,Blue Cross and Blue Shield of Texas,298,3,2,30,52
2022,TX,40220,UnitedHealthcare,13,1,2,1,13
2022,TX,40788,Scott and White Health Plan,9,1,1,1,1
2022,TX,45786,Molina Healthcare,9,3,1,1,2
2022,TX,54837,Friday Health Plans,9,1,1,1,3
2022,TX,58840,Aetna CVS Health,20,1,4,4,20
2022,TX,63251,Community First,2,2,1,1,2
2022,TX,66252,CHRISTUS Health Plan,88,11,1,8,26
2022,TX,71837,"Sendero Health Plans, Local Nonprofit",5,1,1,1,1
2022,TX,87226,Ambetter from Superior HealthPlan,23,5,2,5,23
2022,TX,98312,Bright HealthCare,75,1,5,5,75
2022,UT,18167,Molina Healthcare,7,3,1,1,1
2022,UT,22013,Regence BlueCross BlueShield of Utah,12,3,2,2,7
2022,UT,34541,BridgeSpan Health Company,4,1,1,1,2
2022,UT,39889,Bright HealthCare,15,2,1,1,15
2022,UT,42261,University of Utah Health Plans,17,2,2,2,3
2022,UT,68781,SelectHealth,34,3,3,3,15
2022,UT,81808,Cigna Healthcare,11,2,1,1,4
2022,VA,10207,CareFirst BlueChoice,3,1,2,1,0
2022,VA,20507,Optima Health Plan,7,1,2,1,0
2022,VA,24251,UnitedHealthcare,12,1,2,1,5
2022,VA,25922,Oscar Insurance Company,30,1,1,1,21
2022,VA,25928,Bright HealthCare,26,1,1,2,26
2022,VA,37204,"Piedmont Community HealthCare HMO, Inc.",10,1,2,2,5
2022,VA,38234,Aetna Life Insurance Company,10,1,2,2,10
2022,VA,40308,CareFirst BlueCross BlueShield,2,1,2,1,0
2022,VA,41921,Cigna Health and Life Insurance Company,28,1,1,2,10
2022,VA,86443,"Innovation Health Plan, Inc.",5,1,1,1,5
2022,VA,88380,"HealthKeepers, Inc.",10,1,1,2,1
2022,VA,95185,Kaiser Permanente,13,1,1,1,2
2022,WI,14630,Together with CCHP,8,1,1,1,1
2022,WI,20173,HealthPartners,17,1,2,2,5
2022,WI,37833,Quartz,88,3,3,5,76
2022,WI,38166,Security Health Plan,30,3,3,3,14
2022,WI,38345,Dean Health Plan,54,3,3,6,2
2022,WI,52697,Molina Healthcare,7,3,1,1,1
2022,WI,57845,Medica,16,2,2,3,2
2022,WI,58326,MercyCare Health Plans,9,1,1,1,0
2022,WI,79475,Anthem Blue Cross and Blue Shield,8,1,1,1,0
2022,WI,81413,Network Health,18,2,2,2,2
2022,WI,84670,WPS Health Plan,16,2,1,1,0
2022,WI,86584,Aspirus Health Plan,12,2,1,1,0
2022,WI,87416,Common Ground Healthcare Cooperative,55,3,1,2,46
2022,WI,94529,Group Health Cooperative-SCW,34,2,2,2,7
