market_year,medical_qhp_plans,plans_with_age40_rate,plan_rate_match_share,plan_rating_area_rows
2015,4580,4580,1.0,23137
2016,3994,3994,1.0,19314
2017,3126,3126,1.0,12813
2018,2085,2085,1.0,10415
2019,2659,2659,1.0,10693
2020,3322,3322,1.0,13459
2021,3629,3629,1.0,18381
2022,5152,5152,1.0,25806
2023,6114,6114,1.0,30784
2024,5054,5054,1.0,28131
2025,4541,4541,1.0,26539
2026,4044,4044,1.0,24217
