market_year,states,issuer_state_markets,plans
2015,37,249,4580
2016,38,232,3994
2017,39,167,3126
2018,39,132,2085
2019,39,155,2659
2020,38,175,3322
2021,36,181,3629
2022,33,213,5152
2023,33,219,6114
2024,32,210,5054
2025,31,206,4541
2026,30,183,4044
